SiteID,Longitude,Latitude
APR001,115.61547,-8.373451
APR002,115.438452,-8.49736
APR004,115.606056,-8.450201
APR005,115.450903,-8.459421
APR006,115.509968,-8.44917
APR008,115.495081,-8.385344
APR009,115.448457,-8.419683
APR011,115.41999,-8.51871
APR012,115.601278,-8.454167
APR013,115.615619,-8.473768
APR015,115.613447,-8.440538
APR016,115.564312,-8.507935
APR018,115.565391,-8.482184
APR019,115.674765,-8.417649
APR020,115.589314,-8.422137
APR022,115.594931,-8.441868
APR023,115.699339,-8.399305
APR024,115.550648,-8.499277
APR025,115.415745,-8.352455
APR028,115.534826,-8.472775
APR031,115.577379,-8.511536
APR033,115.496457,-8.519355
APR034,115.443988,-8.438398
APR037,115.42013,-8.498118
APR039,115.471968,-8.429663
APR041,115.611585,-8.445154
APR042,115.616133,-8.451081
APR043,115.601148,-8.445714
APR044,115.596684,-8.456645
APR045,115.606413,-8.436753
APR046,115.570967,-8.252779
APR047,115.49925,-8.199059
APR048,115.491318,-8.445267
APR049,115.613468,-8.340946
APR051,115.417,-8.38317
APR053,115.614683,-8.433489
APR054,115.619149,-8.323855
APR055,115.520878,-8.488768
APR056,115.422919,-8.429153
APR057,115.400155,-8.47435
APR058,115.508032,-8.523138
APR060,115.630345,-8.423479
APR061,115.581443,-8.462461
APR062,115.574009,-8.426363
APR065,115.47938,-8.493412
APR066,115.655421,-8.336528
APR067,115.489464,-8.519219
APR068,115.53579,-8.49855
APR069,115.46722,-8.391652
APR071,115.617201,-8.388683
APR075,115.609853,-8.296793
APR077,115.459806,-8.207422
APR078,115.440222,-8.383479
APR080,115.413224,-8.445821
APR082,115.594916,-8.475699
APR083,115.581171,-8.5027
APR091,115.597241,-8.439251
APR092,115.614023,-8.447068
APR093,115.628209,-8.444949
APR094,115.494477,-8.431291
APR096,115.51582,-8.44324
APR097,115.61082,-8.44913
APR098,115.612686,-8.454568
APR099,115.505588,-8.534444
APR100,115.577366,-8.373862
APR101,115.596289,-8.394105
APR102,115.632089,-8.459644
APR104,115.420975,-8.405713
APR105,115.599117,-8.486321
APR107,115.495251,-8.531879
APR111,115.45886,-8.174121
APR116,115.582248,-8.448767
APR117,115.45305,-8.490417
APR119,115.583107,-8.406407
APR123,115.448895,-8.372944
APR125,115.562003,-8.343172
APR126,115.603916,-8.459859
APR127,115.485248,-8.544274
APR129,115.529787,-8.447729
APR130,115.505828,-8.499867
APR132,115.542313,-8.226543
APR133,115.557737,-8.285517
APR134,115.48812,-8.420485
APR140,115.536335,-8.424036
APR141,115.555856,-8.437285
APR142,115.475211,-8.434362
APR148,115.63729,-8.37858
APR150,115.675281,-8.345483
APR157,115.426107,-8.474018
APR158,115.483339,-8.23645
APR165,115.657003,-8.425805
APR172,115.695886,-8.361506
APR173,115.596365,-8.495193
APR183,115.653052,-8.441501
APR226,115.610763,-8.413619
APR504,115.588067,-8.272103
APR558,115.481794,-8.186272
APR559,115.567598,-8.397624
APR560,115.547488,-8.400572
APR561,115.56902,-8.44189
