SiteID,Longitude,Latitude
BAT001,109.79972,-7.01973
BAT002,109.88181,-6.94403
BAT003,109.97578,-6.97017
BAT004,109.747188,-6.920346
BAT005,109.926757,-6.974436
BAT006,109.725383,-6.906883
BAT007,109.798,-6.95075
BAT008,110.0240778,-6.971827778
BAT009,109.83349,-7.06731
BAT010,109.86452,-7.056
BAT011,109.878409,-7.086095
BAT012,109.96355,-7.025523
BAT013,109.682501,-6.939813
BAT014,109.753963,-6.994622
BAT015,109.775112,-6.935307
BAT016,109.84377,-7.01563
BAT018,109.729845,-6.93307
BAT019,109.85847,-6.96486
BAT020,109.93505,-6.95222
BAT021,109.960884,-6.968237
BAT022,109.704022,-6.905412
BAT023,109.78423,-7.04845
BAT024,109.926519,-7.046844
BAT025,109.819887,-6.944003
BAT026,109.791581,-6.909826
BAT027,109.87743,-6.9719
BAT028,109.89015,-7.05439
BAT029,110.026661,-6.930929
BAT030,109.80733,-7.08341
BAT031,109.85996,-7.03117
BAT032,109.95242,-6.92153
BAT033,109.82692,-7.17586
BAT034,109.83772,-6.95624
BAT035,109.998,-6.97811
BAT036,109.79725,-7.00732
BAT037,110.03675,-6.95732
BAT038,109.88898,-7.02958
BAT039,109.90055,-6.99729
BAT040,109.86791,-7.10639
BAT041,109.731852,-6.917948
BAT042,109.81117,-6.93446
BAT043,109.84118,-7.05317
BAT044,109.96017,-6.9844
BAT045,109.91443,-7.103763
BAT046,109.70542,-6.94722
BAT047,109.90318,-7.10393
BAT048,109.77744,-6.99283
BAT049,109.77154,-6.95311
BAT050,109.91355,-7.12296
BAT051,109.769,-6.90038
BAT052,109.73633,-6.98607
BAT053,109.89841,-7.04249
BAT054,109.7868,-7.02397
BAT101,109.70745,-6.92314
BAT604,109.80089,-7.03401
BAT605,109.71217,-6.89622
BAT606,109.927825,-7.008042
BAT607,109.724425,-6.925332
BAT626,109.742902,-6.893328
BAT631,109.738887,-6.908281
BAT634,109.74578,-6.88575
BAT648,109.720068,-6.915644
BAT650,109.69798,-6.95821
BAT651,109.9164,-7.08476
BAT652,109.939563,-6.965283
BAT654,109.71696,-6.95744
BAT655,109.70869,-6.93426
BAT657,109.735856,-6.894984
BAT658,109.94204,-6.99228
BAT659,109.71814,-6.97196
BAT660,110.04005,-6.97401
BAT661,109.797098,-6.927099
BAT665,109.73663,-6.90053
BAT666,109.74361,-6.9575
BAT667,109.82184,-7.0219
BAT668,109.862,-6.99935
BAT669,109.92182,-6.99093
BAT671,109.93945,-7.02688
BAT673,109.942181,-7.113191
BAT676,109.96933,-6.99761
BAT681,109.919291,-7.017133
BAT682,109.82446,-7.04623
BAT683,109.79531,-6.98226
BAT684,109.795586,-6.899938
BAT691,109.72458,-6.89687
BAT699,109.90535,-6.94881
BAT703,109.7551,-6.93196
BAT704,109.834271,-6.914001
BAT705,109.898271,-6.923301
BAT706,110.00967,-6.95756
BAT707,109.862024,-6.921692
BAT708,109.97723,-6.94099
BAT726,109.902622,-6.978784
BAT728,109.93,-6.93293
BAT729,109.935,-6.92026
BAT740,109.85936,-7.1341
BAT741,109.8171,-7.12408
BAT742,109.74014,-6.94299
BAT748,109.83928,-7.0893
BAT999,109.77489,-6.97261
BJN001,109.698,-7.39583
BJN002,109.61,-7.44702
BJN003,109.65991,-7.20015
BJN004,109.766,-7.39703
BJN005,109.738067,-7.270625
BJN006,109.76523,-7.27363
BJN007,109.71721,-7.32847
BJN008,109.5546,-7.49127
BJN009,109.517,-7.41415
BJN010,109.75511,-7.43558
BJN011,109.427323,-7.481345
BJN012,109.625709,-7.367978
BJN013,109.751263,-7.241172
BJN014,109.684627,-7.364711
BJN015,109.744665,-7.377979
BJN016,109.811909,-7.249304
BJN017,109.71667,-7.25768
BJN018,109.66305,-7.39894
BJN019,109.627229,-7.195075
BJN020,109.83321,-7.22368
BJN021,109.612673,-7.432386
BJN022,109.60686,-7.245487
BJN023,109.81,-7.29303
BJN024,109.70277,-7.3606
BJN025,109.599,-7.34844
BJN026,109.48693,-7.48873
BJN027,109.56733,-7.40016
BJN028,109.676,-7.4368
BJN029,109.9046944,-7.201194444
BJN030,109.60531,-7.46299
BJN031,109.373,-7.5025
BJN032,109.53233,-7.34735
BJN033,109.709831,-7.296234
BJN034,109.630822,-7.398245
BJN035,109.65319,-7.28761
BJN036,109.57881,-7.4518
BJN037,109.769657,-7.335654
BJN038,109.64216,-7.45227
BJN039,109.760762,-7.207888
BJN040,109.639852,-7.221773
BJN041,109.6949167,-7.385777778
BJN042,109.709824,-7.394044
BJN043,109.6856111,-7.398694444
BJN044,109.541601,-7.469492
BJN045,109.631863,-7.315554
BJN047,109.474918,-7.470718
BJN048,109.512,-7.48114
BJN060,109.82913,-7.42517
BJN061,109.701297,-7.337451
BJN120,109.67,-7.4879
BJN121,109.604871,-7.406803
BJN125,109.579683,-7.39622
BJN126,109.72326,-7.39245
BJN127,109.59503,-7.38949
BJN128,109.692539,-7.399333
BJN139,109.41634,-7.48597
BJN141,109.548944,-7.441599
BJN201,109.70325,-7.395333
BJN206,109.68075,-7.41087
BJN208,109.66449,-7.36928
BJN210,109.57613,-7.42755
BJN501,109.8835278,-7.2175
BJN603,109.650982,-7.399292
BJN607,109.68727,-7.47465
BJN609,109.41702,-7.47055
BJN650,109.52267,-7.47031
BJN651,109.401,-7.49403
BJN652,109.538,-7.49635
BJN653,109.69501,-7.41295
BJN654,109.541211,-7.429719
BJN655,109.66268,-7.42188
BJN656,109.592,-7.42047
BJN657,109.431152,-7.460734
BJN660,109.68629,-7.39227
BJN662,109.6927,-7.39472
BJN666,109.81601,-7.41664
BJN668,109.499007,-7.453358
BJN669,109.7153,-7.38052
BJN670,109.673639,-7.39796
BJN671,109.46418,-7.45221
BJN672,109.510776,-7.429818
BJN674,109.540537,-7.375084
BJN677,109.453054,-7.474739
BJN678,109.52607,-7.43943
BJN679,109.601745,-7.506957
BJN681,109.45568,-7.49613
BJN682,109.56377,-7.35788
BJN683,109.584636,-7.306202
BJN684,109.795,-7.20483
BJN685,109.908141,-7.213061
BJN689,109.78123,-7.24712
BJN691,109.73704,-7.30909
BJN706,109.43306,-7.51412
BJN707,109.621893,-7.536422
BJN711,109.667051,-7.321471
BJN712,109.60009,-7.36533
BJN715,109.721171,-7.240597
BJN728,109.75816,-7.50604
BJN735,109.64611,-7.3773
BJN736,109.73548,-7.34681
BJN737,109.72781,-7.41141
BJN738,109.72385,-7.28528
BJN739,109.58765,-7.47206
BJN740,109.69055,-7.25869
BJN741,109.5808,-7.3419
BJN742,109.63495,-7.42116
BJN754,109.56532,-7.50939
BLA001,111.39863,-6.94965
BLA002,111.420135,-6.972571
BLA003,111.59622,-7.13503
BLA004,111.50127,-6.98791
BLA005,111.09782,-7.07627
BLA006,111.590124,-7.15011
BLA007,111.392794,-7.203956
BLA008,111.487509,-6.76241
BLA009,111.255,-6.97878
BLA010,111.313174,-7.005674
BLA011,111.235616,-7.049294
BLA012,111.4068,-6.86269
BLA013,111.558143,-6.917481
BLA014,111.128005,-7.125584
BLA015,111.219895,-7.179776667
BLA016,111.00279,-7.086158
BLA017,111.56532,-7.10924
BLA018,111.256522,-7.274676
BLA020,111.497,-7.24466
BLA021,111.347029,-7.034543
BLA022,111.522,-6.94058
BLA023,111.297,-6.94355
BLA024,111.501523,-7.171188
BLA025,111.456,-7.24619
BLA026,111.180321,-6.940825
BLA027,111.36935,-6.92228
BLA028,111.287866,-7.184552
BLA029,111.580403,-7.153289
BLA030,111.438644,-6.915029
BLA031,111.1585,-6.97598
BLA032,111.55838,-6.964362
BLA033,111.379634,-6.967152
BLA034,111.519581,-7.026253
BLA035,111.409629,-7.004339
BLA036,111.5919,-7.14426
BLA037,111.138913,-6.951587
BLA038,111.55799,-7.18858
BLA039,111.457,-7.18048
BLA040,111.45811,-7.21065
BLA041,111.457552,-6.973424
BLA042,111.424662,-6.958204
BLA043,111.58367,-7.153313333
BLA044,111.278,-7.03378
BLA045,111.339,-7.19191
BLA046,111.55,-7.15722
BLA047,111.503509,-7.196633
BLA048,111.6129,-7.0182
BLA049,111.248361,-7.102802
BLA050,111.42305,-7.13823
BLA051,111.493371,-6.896544
BLA052,111.42711,-7.06125
BLA053,111.485,-7.11113
BLA054,111.584,-7.07571
BLA055,111.463722,-6.937447
BLA056,111.415,-6.96938
BLA057,111.337737,-6.978628
BLA058,111.462,-7.000778
BLA059,111.373,-7.15658
BLA060,111.527122,-7.224099
BLA061,111.295,-7.07105
BLA062,111.38163,-7.17711
BLA063,111.43699,-6.97092
BLA064,111.225833,-6.897745
BLA065,111.4135,-6.96489
BLA066,111.53614,-6.91315
BLA067,111.216521,-7.047979
BLA068,111.32402,-7.16951
BLA069,111.32999,-7.05602
BLA070,111.6125,-7.09845
BLA071,111.35771,-6.96273
BLA072,111.12818,-6.91426
BLA073,111.30969,-6.91299
BLA074,111.0704,-6.9268
BLA101,111.53534,-7.07948
BLA102,111.59705,-7.12908
BLA105,111.58513,-7.14671
BLA108,111.606883,-7.136915
BLA109,111.5857,-7.160847
BLA115,111.56191,-7.1602
BLA500,111.21312,-7.008114
BLA501,111.47986,-6.977191
BLA502,111.184837,-6.912615
BLA503,111.584622,-7.018677
BLA650,111.43188,-6.9432
BLA651,111.3993,-6.97027
BLA652,111.39857,-6.98496
BLA653,111.58645,-7.139153
BLA654,111.45597,-6.95549
BLA655,111.386,-7.01936
BLA666,111.4101,-6.97753
BLA667,111.38212,-7.31956
BLA668,111.596174,-7.144179
BLA669,111.427061,-6.96493
BLA670,111.081315,-7.079634
BLA675,111.578348,-7.150762
BLA679,111.431029,-6.971532
BLA683,111.59634,-7.150176
BLA684,111.40708,-6.97166
BLA686,111.59257,-7.14725
BLA688,111.39645,-7.19247
BLA690,111.600288,-7.13948
BLA693,111.302,-7.03948
BLA694,111.582,-7.18103
BLA696,111.25214,-7.19727
BLA697,111.200833,-6.985167
BLA698,111.41895,-6.96538
BLA699,111.513141,-7.008421
BLA701,111.324341,-6.991041
BLA704,111.423,-7.23103
BLA706,111.262,-7.0702
BLA707,111.30053,-6.98556
BLA708,111.47,-6.91625
BLA709,111.43,-6.99876
BLA711,111.28754,-7.20466
BLA715,111.01812,-7.06522
BLA716,111.43,-7.19799
BLA717,111.2087,-6.94409
BLA720,111.262222,-6.941666
BLA722,111.35409,-7.06201
BLA723,111.32263,-6.95164
BLA725,111.4966,-6.94793
BLA728,111.37186,-7.220349
BLA735,111.435485,-7.017463
BLA741,111.371141,-6.945241
BLA771,111.400251,-6.923031
BLA776,111.2737,-7.10644
BLA777,111.1775,-6.95626
BLA778,111.22086,-7.07451
BLA779,111.36646,-7.03166
BRS001,109.054675,-6.970833
BRS002,108.858671,-6.875838
BRS003,109.028828,-6.87465
BRS004,108.94503,-6.873814
BRS005,108.890141,-6.93305
BRS006,109.025762,-7.279628
BRS007,109.0080556,-7.260444444
BRS008,109.080669,-6.878894
BRS009,108.91616,-7.21236
BRS010,108.800824,-7.171113
BRS011,108.853132,-6.980469
BRS012,108.858834,-6.927486
