SiteID,Longitude,Latitude
BKS002,107.09418,-6.29893
BKS003,107.072898,-6.259712
BKS004,107.06129,-6.47153
BKS005,107.050837,-6.280629
BKS006,107.057531,-6.320226
BKS007,107.110863,-6.321129
BKS008,107.133472,-6.33419
BKS009,107.087412,-6.2775
BKS010,106.947012,-6.263001
BKS011,106.953968,-6.289505
BKS012,107.016276,-6.207171
BKS013,106.96836,-6.25045
BKS014,106.98333,-6.31628
BKS015,106.922871,-6.351127
BKS016,106.938445,-6.307523
BKS017,106.97758,-6.22921
BKS018,107.005998,-6.244926
BKS019,107.005902,-6.316699
BKS020,106.989885,-6.248449
BKS021,106.993268,-6.280874
BKS022,107.015434,-6.273921
BKS023,106.995377,-6.268305
BKS024,106.968211,-6.265302
BKS025,106.99615,-6.23097
BKS026,107.065637,-6.224408
BKS027,107.044986,-6.243972
BKS028,106.90997,-6.262479
BKS029,106.917445,-6.284499
BKS030,106.952153,-6.240695
BKS031,106.93211,-6.27323
BKS032,107.13701,-6.26241
BKS035,107.196274,-6.272618
BKS036,107.411283,-6.408644
BKS037,107.034722,-6.209861
BKS038,106.91397,-6.38109
BKS039,107.167282,-6.329318
BKS040,107.161732,-6.297847
BKS041,106.947297,-6.228335
BKS042,106.93633,-6.31925
BKS043,106.975432,-6.099931
BKS044,107.037705,-6.276458
BKS045,107.053081,-6.260072
BKS046,107.008796,-6.29925
BKS047,107.021824,-6.240263
BKS048,106.94015,-6.34809
BKS049,106.99974,-6.258353
BKS050,106.983654,-6.238759
BKS051,106.97527,-6.20851
BKS052,106.91743,-6.27092
BKS054,106.952131,-6.304125
BKS055,106.970715,-6.282353
BKS056,106.961794,-6.230483
BKS057,106.992769,-6.169582
BKS058,106.990301,-6.186736
BKS059,107.00001,-6.20001
BKS060,106.970981,-6.239341
BKS061,106.980351,-6.270891
BKS062,107.02429,-6.30674
BKS063,106.978735,-6.2471
BKS064,107.070858,-6.29771
BKS065,106.950835,-6.275754
BKS066,107.029508,-6.26158
BKS067,106.986672,-6.258671
BKS068,107.0088691,-6.189897317
BKS069,107.08,-6.23864
BKS071,107.12585,-6.285055
BKS072,106.958845,-6.184973
BKS073,106.94529,-6.24868
BKS074,107.144588,-6.311871
BKS075,106.99873,-6.24076
BKS076,107.014357,-6.222926
BKS077,106.977673,-6.17561
BKS078,106.9118,-6.28428
BKS079,107.030826,-6.320653
BKS080,106.982077,-6.296948
BKS081,106.920064,-6.361651
BKS082,107.085219,-6.424943
BKS084,107.033484,-6.226886
BKS085,107.124444,-6.339671
BKS086,106.918812,-6.298134
BKS087,106.991399,-6.178323
BKS088,107.064235,-6.244084
BKS090,106.973902,-6.196689
BKS091,106.990444,-6.248966
BKS094,107.136809,-6.334143
BKS096,106.983,-6.228
BKS101,106.98688,-6.17849
BKS104,107.028905,-6.293144
BKS105,106.93289,-6.29229
BKS106,106.987634,-6.198601
BKS107,106.962681,-6.212034
BKS108,106.965605,-6.220413
BKS109,106.946134,-6.219046
BKS110,106.921382,-6.272997
BKS114,107.03213,-6.34869
BKS115,107.099722,-6.262049
BKS116,106.96078,-6.24243
BKS118,106.977496,-6.258796
BKS119,106.90945,-6.39166
BKS120,106.95471,-6.25841
BKS124,106.940035,-6.279914
BKS125,106.924061,-6.309185
BKS126,106.94302,-6.29889
BKS128,106.994057,-6.324644
BKS129,106.996703,-6.090705
BKS131,107.02856,-6.198753
BKS132,107.052,-6.22894
BKS133,107.011938,-6.233795
BKS137,107.0266564,-6.10995129
BKS138,107.066011,-6.111911
BKS139,107.05301,-6.13921
BKS140,107.042948,-6.167437
BKS141,107.081,-6.18222
BKS142,107.119788,-6.256646
BKS143,107.094684,-6.231209
BKS144,107.117689,-6.198517
BKS145,107.144897,-6.368003
BKS146,107.19975,-6.341442
BKS147,107.213544,-6.265645
BKS148,107.165576,-6.366594
BKS150,107.11108,-6.336403
BKS151,107.164279,-6.281939
BKS152,107.113977,-6.269626
BKS153,107.135,-6.29619
BKS155,107.1035,-6.385258
BKS156,107.118521,-6.362687
BKS157,107.163518,-6.348842
BKS161,107.02125,-6.258451
BKS164,107.145752,-6.25869
BKS165,107.152027,-6.284991
BKS167,107.0059025,-6.273144484
BKS168,106.98188,-6.30671
BKS169,107.05404,-6.239227
BKS170,106.955031,-6.268612
BKS171,107.040182,-6.185551
BKS172,107.064385,-6.234733
BKS173,107.005457,-6.169995
BKS174,107.109143,-6.343757
BKS177,107.00736,-6.25597
BKS179,107.142325,-6.337302
BKS181,107.014,-6.24399
BKS183,106.953288,-6.226555
BKS184,106.92611,-6.26172
BKS185,107.036,-6.26547
BKS186,107.089634,-6.245133
BKS187,107.0280835,-6.2332355
BKS188,107.041367,-6.337559
BKS189,106.918421,-6.27683
BKS190,107.056739,-6.275006
BKS191,107.025011,-6.138211
BKS192,107.126216,-6.277989
BKS193,107.047486,-6.253336
BKS195,107.016605,-6.264151
BKS196,106.9866219,-6.23027932
BKS197,107.06591,-6.255094
BKS199,107.029867,-6.241415
BKS200,107.138193,-6.347055
BKS201,107.012058,-6.333301
BKS202,107.120454,-6.348761
BKS203,107.078469,-6.286122
BKS204,107.036852,-6.426912
BKS205,106.944176,-6.238119
BKS208,107.105,-6.31294
BKS209,107.1178862,-6.22097348
BKS210,107.058309,-6.252666
BKS211,107.143749,-6.302359
BKS213,107.113759,-6.28394
BKS214,107.14103,-6.319446
BKS216,106.9761,-6.220553
BKS217,107.059638,-6.335262
BKS219,107.102796,-6.247034
BKS220,107.126944,-6.324344
BKS221,107.01601,-6.32153
BKS222,107.021535,-6.183576
BKS223,107.019378,-6.191132
BKS225,107.179051,-6.290826
BKS226,106.981914,-6.327993
BKS227,107.094679,-6.405714
BKS228,107.029237,-6.307754
BKS229,107.091854,-6.321863
BKS230,107.154487,-6.303438
BKS231,106.99914,-6.182037
BKS232,106.99088,-6.137783
BKS233,106.93385,-6.33214
BKS234,106.940398,-6.267831
BKS236,107.064,-6.30925
BKS237,107.131828,-6.399948
BKS238,107.062377,-6.265041
BKS240,107.045,-6.2005
BKS241,106.9738541,-6.35206961
BKS243,107.14536,-6.21251
BKS244,107.102429,-6.286389
BKS245,107.15831,-6.11371
BKS246,107.175611,-6.193194
BKS247,106.986454,-6.350361
BKS249,107.0093478,-6.11428049
BKS252,106.989198,-6.254472
BKS253,107.069401,-6.238324
BKS254,107.110293,-6.299667
BKS256,106.99786,-6.194279
BKS257,107.00433,-6.22969
BKS258,107.079709,-6.228036
BKS260,106.977899,-6.185679
BKS261,107.092166,-6.237753
BKS262,107.004883,-6.204498
BKS263,107.044823,-6.227366
BKS264,107.103149,-6.362131
BKS266,107.112517,-6.261746
BKS267,107.082054,-6.439802
BKS268,107.051045,-6.3294
BKS270,107.010856,-6.20105
BKS271,106.99126,-6.149163
BKS272,106.991299,-6.246895
BKS276,107.054828,-6.247332
BKS278,107.240013,-6.268133
BKS280,107.101806,-6.255147
BKS282,106.99554,-6.26059
BKS283,107.0196511,-6.22324747
BKS288,107.03001,-6.21606
BKS292,106.990291,-6.274547
BKS293,107.000701,-6.288233
BKS295,106.923197,-6.303969
BKS299,106.980426,-6.242116
BKS300,107.130355,-6.259377
BKS301,107.21362,-6.35056
BKS302,106.917186,-6.3912
BKS304,106.960576,-6.273167
BKS305,107.181,-6.35127
BKS306,106.925376,-6.289894
BKS308,106.917175,-6.291684
BKS310,107.080515,-6.259192
BKS311,106.97574,-6.25372
BKS312,106.982219,-6.228776
BKS314,107.170488,-6.285099
BKS315,106.98627,-6.25301
BKS317,107.19319,-6.13889
BKS318,107.00416,-6.35629
BKS319,106.932996,-6.298765
BKS320,106.968266,-6.244718
BKS321,107.024259,-6.223925
BKS325,107.155985,-6.296781
BKS327,106.93702,-6.25786
BKS331,106.977711,-6.275021
BKS334,106.98901,-6.23412
BKS337,107.140169,-6.275388
BKS338,107.057,-6.1891
BKS339,107.115568,-6.34106
BKS341,106.909796,-6.377407
BKS342,107.023137,-6.286117
BKS343,107.036296,-6.218385
BKS344,107.096544,-6.351508
BKS345,107.0011653,-6.37628373
BKS348,106.986343,-6.220661
BKS351,107.013668,-6.34699
BKS353,106.957071,-6.333213
BKS354,106.969498,-6.334081
BKS356,106.990547,-6.337419
BKS359,107.126666,-6.356666
BKS361,106.9617692,-6.3463025
BKS362,107.029641,-6.189453
BKS363,106.95022,-6.33954
BKS364,106.9591,-6.254404
BKS366,106.95914,-6.30783
BKS367,106.934309,-6.372
