SiteID,Longitude,Latitude
AMT001,115.25428,-2.4219
AMT002,115.231,-2.5602
AMT003,114.91403,-2.44976
AMT004,115.183,-2.49708
AMT005,115.21457,-2.41208
AMT006,115.24599,-2.42721
AMT007,115.25392,-2.41295
AMT008,115.24067,-2.41338
AMT009,115.26823,-2.41855
AMT010,115.23858,-2.44259
AMT012,115.23501,-2.48071
AMT013,114.87224,-2.52766
AMT014,115.15601,-2.45792
AMT015,115.182639,-2.497083
AMT016,115.23119,-2.45149
AMT017,115.23038,-2.50166
AMT018,115.26386,-2.3984
AMT021,115.24667,-2.41799
AMT022,115.28801,-2.42095
AMT023,115.18892,-2.43671
AMT024,115.2306533,-2.421655
AMT027,115.22731,-2.40225
AMT028,115.13226,-2.45614
AMT029,115.24344,-2.4307
AMT030,115.1127619,-2.4832005
AMT032,115.2217,-2.46767
AMT033,115.10569,-2.46573
AMT034,115.31894,-2.34331
AMT035,115.28223,-2.38974
AMT036,115.24546,-2.41297
AMT037,115.26051,-2.40533
AMT042,115.24588,-2.43628
AMT043,115.24571,-2.42386
AMT044,115.25861,-2.41353
AMT047,115.25116,-2.41713
AMT048,115.25121,-2.42419
AMT049,115.25984,-2.42423
AMT050,115.214,-2.4672
AMT051,115.27376,-2.38868
AMT072,115.24487,-2.39171
AMT073,115.2385,-2.3719972
AMT074,115.1974,-2.4493
AMT075,115.1703,-2.53285
AMT077,115.19867,-2.48017
AMT100,114.82746,-2.57028
AMT101,114.87337,-2.46646
AMT115,115.25349,-2.35632
BBR003,114.7991,-3.45431
BBR004,114.85183,-3.44231
BBR005,114.82878,-3.45891
BBR006,114.82394,-3.43596
BBR008,114.85377,-3.46088
BBR009,114.8068,-3.43893
BBR010,114.80084,-3.44355
BBR012,114.84002,-3.44721
BBR013,114.87671,-3.4886
BBR014,114.80814,-3.46336
BBR015,114.81502,-3.43974
BBR016,114.85765,-3.45029
BBR017,114.76467,-3.44568
BBR018,114.75181,-3.42554
BBR019,114.84723,-3.44176
BBR022,114.74643,-3.44936
BBR023,114.83223,-3.44151
BBR025,114.79297,-3.4458
BBR026,114.83713,-3.44329
BBR029,114.83147,-3.43417
BBR036,114.78925,-3.47085
BBR039,114.86681,-3.45014
BBR043,114.84374,-3.46191
BBR046,114.84167,-3.43754
BBR047,114.83072,-3.4452
BBR048,114.80681,-3.45358
BBR049,114.81618,-3.44686
BBR051,114.76853,-3.45639
BBR055,114.74393,-3.41717
BBR056,114.79012,-3.4391
BBR058,114.8166,-3.51368
BBR059,114.79215,-3.45491
BBR060,114.81091,-3.45848
BBR062,114.83137,-3.46186
BBR063,114.83967,-3.45308
BBR064,114.76355,-3.42649
BBR065,114.72995,-3.44351
BBR066,114.84977,-3.44553
BBR067,114.70189,-3.45587
BBR068,114.78162,-3.43977
BBR071,114.80558,-3.4438
BBR072,114.82156,-3.43509
BBR073,114.85308,-3.43854
BBR074,114.87171,-3.45645
BBR075,114.79697,-3.43226
BBR076,114.7924,-3.44988
BBR081,114.73907,-3.44565
BBR082,114.76304,-3.45323
BBR083,114.7859,-3.45192
BBR084,114.80739,-3.44964
BBR085,114.82884,-3.45357
BBR086,114.84687,-3.44831
BBR087,114.78371,-3.46088
BBR088,114.78992,-3.4623
BBR089,114.84741,-3.45457
BBR095,114.87249,-3.45211
BBR100,114.79723,-3.46288
BBR101,114.80698,-3.48713
BBR107,114.73507,-3.44421
BBR109,114.82213,-3.44141
BBR110,114.74652,-3.43326
BBR113,114.70914,-3.44653
BBR125,114.7522,-3.43451
BBR127,114.83032,-3.44994
BBR131,114.81199,-3.43124
BBR133,114.71158,-3.45065
BBR134,114.73479,-3.45079
BBR135,114.84899,-3.43962
BBR138,114.84438,-3.50024
BBR139,114.72296,-3.44464
BBR140,114.81998,-3.44866
BBR141,114.77975,-3.45041
BBR142,114.75449,-3.45237
BBR144,114.85293,-3.46959
BBR145,114.83814,-3.43241
BBR148,114.70486,-3.47126
BBR152,114.85524,-3.44457
BBR157,114.73748,-3.42362
BBR158,114.77503,-3.45451
BBR159,114.81857,-3.43921
BBR160,114.81719,-3.43435
BBR161,114.69946,-3.41516
BBR162,114.82524,-3.443
BBR163,114.85071,-3.48543
BBR175,114.80141,-3.46686
BBR176,114.83721,-3.43888
BBR177,114.74743,-3.39415
BBR178,114.828,-3.50059
BBR179,114.74292,-3.44082
BBR181,114.8481141,-3.4596056
BBR183,114.81177,-3.44501
BBR184,114.82865,-3.43931
BBR187,114.86864,-3.44868
BBR190,114.83353,-3.44961
BBR194,114.82236,-3.47305
BBR195,114.79819,-3.42706
BBR196,114.86346,-3.47916
BBR197,114.80142,-3.47256
BBR198,114.80002,-3.44928
BBR199,114.84429,-3.44594
BBR200,114.73604,-3.44112
BBR202,114.82324,-3.43933
BBR203,114.63071,-3.35596
BBR204,114.83312,-3.4438
BBR218,114.74326,-3.42952
BBR222,114.847196,-3.445728
BBR223,114.84129,-3.44486
BBR225,114.83072,-3.44238
BBR226,114.81258,-3.4268
BBR228,114.83157,-3.43929
BBR241,114.82244,-3.45735
BBR242,114.69649,-3.42802
BBR243,114.831,-3.48558
BBR244,114.79947,-3.49676
BBR256,114.73673,-3.45271
BBR257,114.84895,-3.49583
BBR259,114.77134,-3.48596
BBR266,114.5773967,-3.3150434
BBR270,114.74957,-3.43714
BBR272,114.78651,-3.48114
BBR273,114.74011,-3.45696
BBR301,114.83502,-3.45734
BBR302,114.82653,-3.43172
BBR303,114.79449,-3.46932
BBR304,114.85189,-3.4722
BBR305,114.8274,-3.44796
BBR306,114.8120306,-3.4497389
BBR307,114.71786,-3.43476
BBR314,114.72328,-3.42699
BBR320,114.8977,-3.55
BBR400,114.80162,-3.49451
BEK001,109.19478,0.79538
BEK002,109.60366,1.03463
BEK003,109.70029,1.14848
BEK004,109.85363,1.28297
BEK005,109.4812622,0.8165844
BEK006,108.92253,0.67089
BEK007,109.34221,0.79699
BEK008,109.50394,0.85279
BEK009,109.135,0.756111
BEK010,108.86001,0.79223
BEK011,109.60299,1.43174
BEK012,109.51991,0.80167
BEK013,109.929,1.33189
BEK014,109.16623,0.72952
BEK015,109.26576,0.79189
BEK016,109.38297,0.81268
BEK017,109.51393,0.97509
BEK018,108.934,0.613778
BEK019,109.04,0.666781
BEK020,109.2183,0.86105
BEK021,108.9303055,0.5671922
BEK022,108.89024,0.71095
BEK023,108.84843,0.80097
BEK024,109.71775,1.11599
BEK025,109.69348,1.13795
BEK029,109.78101,1.18362
BEK031,109.64667,1.0804
BEK036,109.76561,1.44171
BEK037,109.71429,1.46388
BEK038,109.57563,1.06235
BEK039,109.73753,1.17172
BEK047,109.33235,0.79799
BEK048,109.30495,0.80332
BEK051,109.77043,0.90375
BEK052,109.47276,0.82134
BEK059,109.71708,1.05236
BEK064,109.679,1.27019
BEK065,109.74,1.09642
BEK066,109.78683,1.28658
BEK068,109.48061,0.82427
BEK069,109.47585,0.80959
BEK070,109.48402,0.82075
BEK071,109.4844,0.8284
BEK073,109.74776,1.04296
BEK074,109.46072,0.79681
BEK075,109.691,1.11529
BEK082,109.471,0.93489
BEK113,109.5691,1.12076
BEK251,108.99101,0.64619
BEK252,109.15048,0.82184
BEK253,109.06061,0.74187
BEK254,109.16247,0.86186
BEK255,109.8835,1.32574
BEK294,108.90265,0.6969
BEK297,108.95493,0.58988
BEK301,109.41053,0.81233
BEK305,108.865,0.8248
BEK308,109.52769,0.78436
BEK310,109.52311,0.84108
BEK311,108.93389,0.64434
BEK312,109.71092,1.08686
BEK339,109.79978,1.22488
BEK342,109.95587,1.32495
BEK343,109.54477,0.74869
BEK344,109.50103,0.86808
BEK345,109.440779,0.83217
BEK346,109.16731,0.81473
BEK347,109.90025,1.35725
BJM001,114.5918703,-3.3253324
BJM002,114.61067,-3.33043
BJM003,114.59354,-3.29014
BJM004,114.57291,-3.30185
BJM005,114.57127,-3.3455
BJM006,114.564,-3.329190016
BJM008,114.59577,-3.31104
BJM009,114.5937,-3.3424
BJM012,114.60768,-3.34264
BJM013,114.57711,-3.33547
BJM014,114.58405,-3.31454
BJM015,114.59963,-3.3231
BJM016,114.53643,-3.3583
BJM017,114.62304,-3.34663
BJM018,114.57462,-3.28821
BJM019,114.61048,-3.31564
BJM020,114.60426,-3.29917
BJM021,114.59358,-3.31791
BJM022,114.59654,-3.32658
BJM027,114.58385,-3.3018
BJM030,114.61563,-3.33719
BJM032,114.56763,-3.31565
BJM040,114.57645,-3.29895
BJM041,114.61451,-3.32263
BJM046,114.58924,-3.33057
BJM047,114.57849,-3.35436
BJM049,114.61179,-3.35263
BJM052,114.59398,-3.29847
BJM053,114.61797,-3.32416
BJM055,114.60743,-3.33073
BJM057,114.57848,-3.31128
BJM058,114.57587,-3.32186
BJM060,114.58469,-3.295
BJM061,114.60828,-3.31981
BJM064,114.62874,-3.33122
BJM065,114.633,-3.33273
BJM066,114.58077,-3.3375
BJM067,114.62877,-3.34756
BJM068,114.62775,-3.32008
BJM069,114.63029,-3.33541
BJM070,114.62362,-3.36125
BJM071,114.62911,-3.34084
BJM072,114.6301206,-3.3242292
BJM074,114.63261,-3.34694
BJM085,114.57736,-3.34198
BJM086,114.6052,-3.33532
BJM088,114.61679,-3.32846
BJM090,114.6215,-3.35561
BJM091,114.57408,-3.31724
BJM093,114.59928,-3.31111
BJM097,114.60849,-3.30272
BJM099,114.57144,-3.33635
BJM104,114.59577,-3.28885
BJM106,114.56576,-3.33301
BJM107,114.56432,-3.31835
BJM109,114.58461,-3.32074
BJM112,114.59681,-3.3142
BJM116,114.5767,-3.32789
BJM117,114.58236,-3.3286
BJM118,114.56928,-3.32797
BJM120,114.58802,-3.33469
BJM121,114.60632,-3.31579
BJM122,114.56929,-3.27498
BJM123,114.60513,-3.32186
BJM124,114.59584,-3.30569
BJM128,114.57057,-3.33149
BJM129,114.61954,-3.34139
BJM130,114.57599,-3.30707
BJM131,114.56998,-3.29556
BJM134,114.59839,-3.35447
BJM138,114.61436,-3.34673
BJM145,114.59022,-3.31455
BJM147,114.58675,-3.33828
BJM148,114.57004,-3.32061
BJM150,114.59667,-3.34334
BJM153,114.59274,-3.28643
BJM155,114.60501,-3.32736
BJM157,114.60015,-3.31626
