SiteID,Longitude,Latitude
AGA001,138.1402,-5.54547
AGA002,138.13676,-5.53791
AGA005,138.14079,-5.53205
AGA006,138.3865,-4.60403
AGA007,138.384,-5.73432
AGA008,138.21721,-5.15722
AGA011,138.13055,-5.54455
AGA020,138.13837,-5.54239
AGA021,138.08419,-5.49615
AGA040,138.13038,-5.55064
AGA041,138.14113,-5.521
AGA043,139.30378,-5.36005
AGA044,138.13877,-5.52915
AGA045,138.13243,-5.54253
AMB002,128.18477,-3.69555
AMB003,128.18429,-3.68902
AMB004,128.17341,-3.70292
AMB006,128.085594,-3.706927
AMB007,128.32281,-3.61524
AMB008,128.11369,-3.77648
AMB009,128.33365,-3.5966
AMB010,128.18226,-3.70017
AMB011,128.16868,-3.70768
AMB012,128.16115,-3.66538
AMB013,128.65088,-3.57721
AMB014,128.33297,-3.51301
AMB015,128.17686,-3.591273333
AMB016,128.199014,-3.675268
AMB017,128.18994,-3.61259
AMB018,128.20909,-3.68214
AMB019,128.2104267,-3.68921
AMB020,128.1978,-3.67868
AMB021,128.19652,-3.73268
AMB022,128.15537,-3.71097
AMB023,128.17957,-3.69563
AMB024,128.25005,-3.63078
AMB025,128.31767,-3.57257
AMB026,128.1795,-3.69323
AMB027,128.20177,-3.67098
AMB028,128.18755,-3.68568
AMB029,128.26523,-3.64607
AMB031,128.18344,-3.69848
AMB032,128.14366,-3.72896
AMB033,128.17574,-3.69867
AMB034,128.19308,-3.70069
AMB035,128.23735,-3.64713
AMB036,128.295,-3.69142
AMB037,128.12568,-3.7674
AMB038,128.15836,-3.71397
AMB039,128.16318,-3.65392
AMB040,128.18277,-3.69442
AMB041,128.32976,-3.6094
AMB042,128.19014,-3.71445
AMB043,128.21587,-3.68317
AMB044,128.32417,-3.55706
AMB045,128.20549,-3.68193
AMB046,128.19921,-3.66601
AMB047,128.65517,-3.57029
AMB048,128.17735,-3.69536
AMB049,128.16915,-3.70415
AMB050,128.11469,-3.78168
AMB051,128.18766,-3.66169
AMB052,128.19171,-3.6615
AMB053,128.1914,-3.68336
AMB054,128.1665,-3.74793
AMB055,128.214,-3.72318
AMB056,128.19233,-3.68862
AMB057,128.10846,-3.6777
AMB058,128.2099,-3.71166
AMB059,128.19146,-3.70916
AMB060,128.1986,-3.6836
AMB062,128.20738,-3.6994
AMB063,128.16283,-3.71133
AMB064,128.25693,-3.639576667
AMB065,128.18003,-3.70249
AMB066,128.032055,-3.742813333
AMB067,128.18508,-3.69445
AMB068,128.28627,-3.62291
AMB069,128.18645,-3.69723
AMB070,128.19425,-3.650265
AMB071,128.18013,-3.66039
AMB073,128.13869,-3.67716
AMB074,128.18749,-3.68732
AMB075,128.19323,-3.67683
AMB076,128.24429,-3.63326
AMB077,128.20859,-3.63104
AMB078,128.1873,-3.68336
AMB079,128.33498,-3.59053
AMB080,128.18732,-3.69205
AMB081,128.18857,-3.70468
AMB082,128.19231,-3.69641
AMB083,128.20482,-3.69012
AMB084,128.17103,-3.71101
AMB085,128.103456,-3.701908
AMB086,128.30186,-3.62042
AMB088,128.28497,-3.65422
AMB089,128.22113,-3.68619
AMB090,128.185295,-3.693638333
AMB091,128.18154,-3.69528
AMB092,128.18831,-3.69559
AMB093,128.24937,-3.63149
AMB094,128.22735,-3.68089
AMB095,128.1909,-3.69358
AMB097,128.16121,-3.70513
AMB099,128.22962,-3.62806
AMB100,128.25771,-3.63911
AMB101,128.21786,-3.66081
AMB102,128.19218,-3.67988
AMB103,128.1926857,-3.640019652
AMB105,128.24903,-3.73591
AMB109,128.22566,-3.62574
AMB110,128.08869,-3.705141
AMB111,128.12092,-3.77657
AMB113,128.18221,-3.68905
AMB114,128.18163,-3.69714
AMB116,128.17445,-3.69844
AMB117,128.17736,-3.7001
AMB119,128.168835,-3.664163333
AMB121,128.16902,-3.71637
AMB124,128.2980111,-3.6718694
AMB125,128.19851,-3.70591
AMB126,128.41897,-3.54546
AMB127,128.31532,-3.51066
AMB128,128.19013,-3.678
AMB130,128.1613,-3.70799
AMB131,128.244,-3.64426
AMB132,128.13525,-3.77197
AMB133,128.22377,-3.73655
AMB134,128.14951,-3.76416
AMB135,128.11967,-3.7699
AMB136,128.27,-3.70471
AMB138,128.21645,-3.63191
AMB139,128.22584,-3.68603
AMB140,128.13122,-3.74771
AMB141,128.19604,-3.67258
AMB142,128.20244,-3.66827
AMB143,128.23177,-3.65149
AMB144,128.25313,-3.63166
AMB145,128.25633,-3.63052
AMB146,128.24077,-3.6423
AMB147,128.24397,-3.64201
AMB148,128.25237,-3.62311
AMB149,128.19573,-3.65751
AMB150,128.333,-3.5438
AMB152,128.17202,-3.70571
AMB153,128.30135,-3.61368
AMB154,128.17403,-3.70721
AMB156,128.18024,-3.69157
AMB160,128.197647,-3.670059
AMB163,128.20203,-3.68217
AMB164,128.19482,-3.69258
AMB165,128.20073,-3.63643
AMB166,128.19167,-3.68587
AMB167,128.1662233,-3.662096667
AMB168,128.25557,-3.63578
AMB169,128.18691,-3.7004
AMB170,128.15811,-3.7107
AMB171,128.1788,-3.7046
AMB172,128.18874,-3.68121
AMB176,128.18551,-3.70445
AMB177,128.21363,-3.66049
AMB182,128.28687,-3.61452
AMB189,128.18882,-3.68958
AMB190,128.19632,-3.68791
AMB191,128.16636,-3.70578
AMB192,128.1976,-3.69031
AMB193,128.2009,-3.68634
AMB194,128.20644,-3.67985
AMB195,128.18567,-3.69043
AMB196,128.24644,-3.62327
AMB197,128.22457,-3.65522
AMB199,128.18814,-3.68431
AMB202,128.18801,-3.688617
AMB203,128.186523,-3.689806
AMB205,128.18425,-3.69262
AMB209,128.18289,-3.65873
AMB210,128.18182,-3.69436
AMB212,128.17677,-3.69842
AMB213,128.17986,-3.698268
AMB215,128.18514,-3.70801
AMB224,128.19278,-3.68121
AMB225,128.16521,-3.70328
AMB226,128.20269,-3.66516
AMB227,128.1887,-3.68297
AMB228,128.23997,-3.62948
