SiteID,Longitude,Latitude
ADL001,122.45586,-4.09687
ADL002,122.45067,-4.43357
ADL003,122.0394,-4.76662
ADL004,122.25725,-4.47844
ADL005,122.2263,-4.4587
ADL006,121.58194,-4.77222
ADL007,122.27512,-4.33703
ADL008,122.48568,-4.28408
ADL009,122.4975,-4.14791
ADL010,122.44946,-4.41853
ADL011,122.29343,-4.07383
ADL012,122.99333,-4.02389
ADL013,121.80519,-4.83308
ADL014,121.67207,-4.82182
ADL015,122.338,-4.35167
ADL016,122.68728,-4.17216
ADL017,122.12466,-4.13774
ADL018,122.21275,-4.23674
ADL019,122.51261,-4.11553
ADL020,121.53251,-4.75111
ADL021,122.00055,-4.74056
ADL022,121.93069,-4.71442
ADL023,121.80772,-4.68467
ADL024,121.7179,-4.75196
ADL025,122.1725,-4.44111
ADL026,122.46333,-3.89639
ADL027,122.45902,-3.79973
ADL028,122.27051,-3.96745
ADL029,121.98598,-4.61368
ADL030,122.61256,-4.15378
ADL031,122.42889,-3.97639
ADL032,121.61644,-4.79158
ADL033,122.42191,-4.30713
ADL034,122.12566,-4.25819
ADL035,122.43796,-3.75908
ADL036,122.32035,-3.9616
ADL037,122.05512,-4.77837
ADL038,121.756,-4.81944
ADL039,122.04777,-5.28361
ADL040,122.1055556,-4.22027778
ADL041,122.23395,-4.10317
ADL042,122.18001,-4.11291
ADL043,122.20888,-4.28776
ADL045,121.95196,-4.19316
ADL046,122.41423,-4.31886
ADL047,121.76583,-4.70911
ADL049,122.05172,-4.77499
ADL050,121.8447,-4.69567
ADL052,122.58083,-4.38989
ADL053,122.49785,-4.35148
ADL054,122.65379,-4.02613
ADL055,122.61669,-4.1036
ADL057,122.47459,-4.3051
ADL058,122.29488,-4.46773
ADL059,121.52484,-4.70045
ADL060,122.13324,-4.460666
ADL061,122.63419,-4.15035
ADL062,122.33607,-4.44255
ADL063,121.99335,-4.21269
ADL064,122.10898,-4.28126
ADL065,122.31755,-4.25469
ADL066,122.49517,-3.87596
ADL067,121.79031,-4.77849
ADL068,122.68698,-4.21204
ADL069,122.49719,-4.12363
ADL070,122.46928,-4.047918
ADL071,121.749,-4.78981
ADL072,121.72476,-4.81597
ADL073,121.88971,-4.87301
ADL074,122.12914,-4.32679
ADL075,122.18883,-4.25955
ADL076,122.105,-4.39641
ADL077,122.80996,-4.42581
ADL078,122.96735,-4.13806
ADL079,122.22808,-4.30896
ADL080,122.08929,-4.18684
ADL081,122.38878,-4.43187
ADL082,122.42937,-3.93156
ADL083,121.91167,-4.65879
ADL084,122.41672,-4.07731
ADL085,121.92427,-4.66007
ADL086,122.426944,-4.0605
ADL087,122.22681,-4.46403
ADL088,122.05635,-4.30382
ADL089,121.58404,-4.78251
ADL090,122.37561,-4.09311
ADL091,122.47649,-4.04341
ADL092,122.46201,-4.04493
ADL094,122.33933,-3.75237
ADL095,122.22814,-4.41921
ADL096,121.98801,-4.64349
ADL097,122.69201,-4.30011
ADL098,122.49301,-4.19695
ADL099,122.36508,-4.02869
ADL100,122.38465,-3.74024
ADL102,122.6562,-4.3549
ADL106,122.472,-4.11314
ADL107,122.4425,-4.3091
ADL108,122.273,-4.10195
ADL109,122.35576,-4.08627
ADL110,122.11404,-4.14023
ADL111,122.06388,-4.77622
ADL112,122.04682,-4.77098
ADL113,122.04854,-4.77562
ADL114,122.01744,-4.74779
ADL115,122.187,-4.34926
ADL116,122.25317,-4.16201
ADL117,121.63363,-4.76357
ADL122,122.05235,-4.39469
ADL129,121.80676,-4.81813
ADL138,122.413969,-3.90651
ADL143,122.38688,-4.07251
ADL144,122.83705,-4.42214
ADL145,122.618379,-4.406089
ADL153,121.87572,-5.12171
ADL155,122.45163,-4.05211
ADL158,122.04971,-4.78149
ADL160,122.7452,-4.38251
ADL162,122.37986,-3.90176
ADL178,122.20753,-4.10581
ADL185,122.41213,-3.88061
ADL186,122.470215,-3.832795
ADL193,122.18167,-4.15393
ADL194,122.19952,-4.44803
ADL197,122.71231,-4.22482
ADL199,121.73767,-4.7052
ADL200,122.55054,-3.90049
ADL201,122.64303,-4.07632
ADL204,122.04496,-4.86505
ADL224,122.01311,-4.68535
ADL233,123.10328,-4.25125
ADL238,121.6428,-4.801
ADL251,122.30634,-4.34409
ADL261,122.00484,-4.61584
ADL271,122.40202,-3.87343
ADL272,122.48485,-3.82624
ADL273,122.42661,-3.90681
ADL274,121.87969,-4.58442
ADL276,122.25256,-4.32427
ADL286,122.64708,-4.05822
ADL300,122.02418,-4.7576
ADL301,122.23931,-4.05258
AMR001,124.58191,1.18694
AMR002,124.60833,1.26445
AMR003,124.4425,1.16955
AMR004,124.67341,1.33423
AMR005,124.6225,1.22332
AMR006,124.513,1.13739
AMR007,124.86401,0.98162
AMR008,124.55401,1.37572
AMR009,124.53297,1.122898
AMR010,124.5278,1.1936
AMR011,124.66222,1.29382
AMR012,124.48122,1.03482
AMR013,124.39881,1.17962
AMR014,124.38718,1.05639
AMR015,124.473202,0.90759
AMR016,124.59445,1.20913
AMR017,124.43621,1.16201
AMR018,124.48591,0.94183
AMR019,124.57211,1.18411
AMR020,124.42133,1.09161
AMR021,124.48657,1.08532
AMR024,124.55952,1.18382
AMR025,124.633,1.27869
AMR027,124.6128,1.23852
AMR028,124.601733,1.288336
AMR029,124.45457,0.79409
AMR030,124.89921,1.01142
AMR031,124.70805,0.89162
AMR032,124.43391,0.80572
AMR033,124.69703,1.28174
AMR034,124.47413,0.87762
AMR035,124.81673,0.95874
AMR036,124.49638,0.98462
AMR037,124.78481,0.94526
AMR039,124.66869,1.25577
AMR040,124.608453,1.122876
AMR041,124.43135,1.11623
AMR042,124.46981,1.17942
AMR044,124.58553,1.19572
AMR048,124.61455,1.25042
AMR049,124.48671,1.05142
AMR050,124.46913,0.92298
AMR051,124.66621,1.30792
AMR052,124.85297,0.97614
AMR053,124.49021,0.99152
AMR056,124.58959,1.20182
AMR057,124.66902,1.06162
AMR060,124.57565,1.185
AMR062,124.43324,1.17132
AMR066,124.47112,1.03822
AMR072,124.33792,1.09262
AMR073,124.46417,1.16692
AMR074,124.60566,1.22035
AMR077,124.60933,1.19882
AMR078,124.45774,1.09124
AMR081,124.56601,1.18164
AMR088,124.57131,1.17992
AMR096,124.7158,1.20778
AMR101,124.508566,1.102386
AMR103,124.44705,0.90277
AMR108,124.51458,1.03656
AMR109,124.66883,1.20477
AMR110,124.45733,1.02682
AMR111,124.52182,1.08319
AMR112,124.5474,1.00402
AMR113,124.51727,0.9954
AMR115,124.52485,1.32531
AMR116,124.61543,1.24366
AMR117,124.54573,1.20054
AMR118,124.58481,1.15893
APN001,121.62984,-0.87643
APN002,121.60657,-0.89907
APN003,121.09383,-1.44455
