SiteID,Longitude,Latitude
AGR001,102.194,-3.43906
AGR002,101.629729,-3.198109
AGR003,101.830599,-3.359797
AGR004,102.545,-3.66214
AGR005,102.05,-3.53342
AGR006,102.283,-3.5235
AGR007,102.455472,-3.731204
AGR008,102.186,-3.62139
AGR009,101.655271,-3.252695
AGR010,102.24,-3.643
AGR011,102.407,-3.83764
AGR012,101.601,-3.13092
AGR013,102.115,-3.58228
AGR014,102.2535,-3.712822
AGR015,102.200316,-3.433885
AGR016,102.409,-3.76314
AGR017,102.408199,-3.646182
AGR018,102.112,-3.47875
AGR020,101.77515,-3.33285
AGR021,101.845,-3.20339
AGR022,102.275,-5.35089
AGR023,102.125837,-3.375322
AGR024,102.059345,-3.348449
AGR025,102.189,-3.52142
AGR026,101.973,-3.48953
AGR027,102.23705,-3.60666
AGR028,102.2597,-3.54995
AGR029,102.15999,-3.446
AGR030,101.85916,-3.20036
AGR031,101.732818,-3.169492
AGR032,101.872,-3.41294
AGR033,101.75066,-3.16153
AGR034,102.02525,-3.35516
AGR035,102.27052,-3.5185
AGR037,102.019349,-3.334237
AGR038,102.264895,-3.42522
AGR039,102.188,-3.5765
AGR040,102.09099,-3.30707
AGR041,101.675,-3.27725
AGR042,102.097,-3.36248
AGR043,101.868919,-3.285859
AGR044,102.49,-3.70306
AGR045,101.880085,-3.341527
AGR046,102.298,-3.46972
AGR047,101.64733,-3.24718
AGR048,102.17699,-3.35708
AGR049,102.19687,-3.42343
AGR051,102.307475,-3.552977
AGR052,101.794,-3.30075
AGR053,102.358,-3.72153
AGR055,102.235,-3.66908
AGR056,102.124859,-3.332134
AGR058,101.938001,-3.199761
AGR059,101.875,-3.13376
AGR060,101.792,-3.19005
AGR061,102.444,-3.68113
AGR062,102.368,-3.62836
AGR064,102.216,-3.54665
AGR065,102.022611,-3.424082
AGR066,101.673002,-3.196641
AGR067,102.095,-3.24024
AGR068,101.842,-3.31206
AGR069,102.073799,-3.502566
AGR070,102.295001,-3.622681
AGR072,101.59,-3.09946
AGR073,102.463001,-3.642321
AGR074,102.271,-3.72478
AGR075,102.274,-3.68804
AGR076,102.254281,-3.738278
AGR077,102.15699,-3.3565
AGR078,101.960711,-3.401245
AGR079,101.891,-3.37448
AGR080,102.17,-3.40208
AGR081,102.184115,-3.427401
AGR083,101.626757,-3.24348
AGR084,102.360514,-3.793633
AGR085,102.206,-3.43676
AGR086,102.191001,-3.43381
AGR087,102.182914,-3.43779
AGR089,102.227,-3.4383
AGR090,102.251,-3.53031
AGR091,102.38702,-3.80843
AGR092,102.341021,-3.265171
AGR093,102.304453,-3.194758
AGR094,102.15103,-3.379989
AGR096,102.41115,-3.70022
AGR097,101.842582,-3.361119
AGR099,102.100056,-3.413685
AGR100,102.092455,-3.450669
AGR101,102.52209,-3.71041
AGR103,102.182,-3.48656
AGR104,101.849,-3.387
AGR106,102.244,-3.46382
AGR107,101.671,-3.23031
AGR108,101.725166,-3.259338
AGR109,101.7125,-3.050008
AGR110,102.15,-3.60135
AGR111,101.967775,-3.451292
AGR112,102.484001,-3.664351
AGR113,102.14,-3.4701
AGR114,101.897861,-3.421189
AGR115,102.46706,-3.71711
AGR116,102.380029,-3.640137
AGR118,102.249001,-3.688019
AGR119,102.232,-3.50674
AGR120,101.811858,-3.261324
AGR121,102.455,-3.82101
AGR122,102.46719,-3.75465
AGR123,102.312,-3.63793
AGR124,102.329935,-3.588344
AGR125,101.772001,-3.238771
AGR126,102.058,-3.27342
AGR127,102.372001,-3.689601
AGR128,101.567,-3.13909
AGR129,101.902,-3.25981
AGR131,102.083,-3.54381
AGR132,101.829,-3.14858
AGR134,101.749401,-3.289707
AGR138,101.82343,-3.37948
AGR139,101.837005,-3.367425
AGR145,102.2865,-3.7337
AGR147,102.39009,-3.77286
AGR148,102.377988,-3.591037
AGR149,102.38073,-3.84319
AGR152,102.129201,-3.404941
AGR153,101.83394,-3.33362
AGR154,102.51005,-3.70637
AGR156,102.20506,-3.64043
AGR159,101.80081,-3.34399
AGR160,102.426621,-3.746001
AGR161,101.83381,-3.29871
AGR162,101.707181,-3.177161
AGR164,102.04641,-3.48702
AGR165,102.00288,-3.49777
AGR166,101.873908,-3.189001
AGR167,102.12694,-3.50177
AGR168,102.056875,-3.312895
AGR169,101.868149,-3.367472
AGR171,102.20003,-3.5542
AGR172,102.29469,-3.50144
AGR173,101.64047,-3.22435
AGR174,101.67473,-3.25258
AGR175,102.0802,-3.3779
BDL001,105.256,-5.41053
BDL002,105.311453,-5.431374
BDL003,105.26259,-5.37794
BDL004,105.268946,-5.444692
BDL005,105.25,-5.42614
BDL006,105.292319,-5.385072
BDL007,105.21899,-5.40833
BDL008,105.273234,-5.424699
BDL009,105.298,-5.44092
BDL010,105.267136,-5.408737
BDL011,105.29698,-5.40767
BDL012,105.276,-5.40597
BDL013,105.251,-5.39931
BDL014,105.30598,-5.38754
BDL015,105.251407,-5.459234
BDL016,105.254882,-5.356549
BDL017,105.287514,-5.412269
BDL018,105.272323,-5.388606
BDL019,105.267654,-5.368477
BDL020,105.279,-5.43094
BDL021,105.289378,-5.399139
BDL022,105.242,-5.37721
BDL023,105.264001,-5.394641
BDL024,105.204754,-5.387155
BDL025,105.253,-5.41667
BDL026,105.261,-5.41183
BDL027,105.254819,-5.439979
BDL028,105.32249,-5.42439
BDL029,105.607532,-1.975971
BDL030,105.262628,-5.451329
BDL031,105.246211,-5.361886
BDL032,105.224782,-5.388905
BDL033,105.25722,-5.41257
BDL037,105.278454,-5.442396
BDL038,105.26439,-5.42694
BDL039,105.200817,-5.404844
BDL040,105.243279,-5.413589
BDL041,105.220456,-5.377005
BDL042,105.26967,-5.43473
BDL043,105.224362,-5.435056
BDL048,105.237624,-5.39512
BDL050,105.29,-5.37122
BDL051,105.26344,-5.38705
BDL052,105.28163,-5.39052
BDL053,105.276281,-5.415858
BDL055,105.261,-5.41982
BDL057,105.232492,-5.384574
BDL058,105.235915,-5.360965
BDL062,105.282978,-5.35734
BDL063,105.233002,-5.41814
BDL064,105.30622,-5.397807
BDL066,105.312644,-5.441751
BDL067,105.326,-5.43214
BDL068,105.2878653,-5.43609212
BDL070,105.258,-5.44167
BDL071,105.212454,-5.396875
BDL072,105.321328,-5.477691
BDL074,105.274338,-5.446322
