SiteID,Longitude,Latitude
ASK001,100.716949,-0.930973
ASK002,100.62627,-0.821252
ASK003,100.80167,-1.04296
ASK004,100.58434,-0.72487
ASK005,100.629401,-0.936595
ASK006,100.70772,-0.83731
ASK007,100.76973,-1.02354
ASK008,100.78538,-1.07832
ASK009,100.717893,-0.78137
ASK010,100.635761,-0.874739
ASK011,100.720468,-1.058003
ASK012,100.609782,-0.945085
ASK013,100.878969,-1.24195
ASK014,100.876302,-1.079832
ASK015,100.75474,-1.053783
ASK016,100.523167,-0.642694
ASK017,100.86921,-1.25106
ASK018,100.703527,-0.950457
ASK019,100.733189,-0.98612
ASK020,100.900006,-0.966682
ASK021,100.856269,-1.2139
ASK022,100.777119,-1.05786
ASK023,100.699647,-0.669342
ASK025,100.93686,-1.13255
ASK026,100.855114,-1.084578
ASK027,100.592867,-0.712597
ASK028,100.646481,-0.60408
ASK029,100.699969,-0.90421
ASK030,100.721626,-0.982643
ASK031,100.681575,-0.834436
ASK033,100.770569,-0.86339
ASK035,100.69325,-0.81329
ASK036,100.675261,-0.82373
ASK037,100.684139,-0.78232
ASK038,100.668218,-0.864401
BGS001,100.90915,2.03418
BGS002,100.63837,2.00886
BGS003,100.5901,1.70181
BGS004,100.454789,1.6807
BGS005,100.292419,1.85695
BGS006,101.022692,1.774053
BGS007,100.556252,1.699147
BGS008,100.89411,2.27779
BGS009,101.037339,1.62338
BGS010,100.85566,2.25659
BGS013,100.97379,2.28039
BGS014,101.031792,1.809627
BGS016,100.58173,2.10197
BGS017,100.75763,1.67885
BKG001,101.209311,0.073956
BKG002,101.673,0.433791944
BKG003,101.42582,0.36133
BKG004,101.0643,0.35543
BKG005,101.231505,0.219448
BKG006,101.024522,0.452102
BKG007,101.149602,0.343382
BKG008,101.397698,0.134032
BKG010,101.207952,0.375623
BKG011,101.076426,-0.150706
BKG012,101.34584,0.1812326
BKG013,101.388888,0.463055
BKG014,101.2228,0.533253
BKG015,101.45116,0.761299722
BKG016,101.173506,-0.041598
BKG017,101.377777,0.463611
BKG018,101.4025,0.461111
BKG020,101.367777,0.484722
BKG021,101.35881,0.46243
BKG022,101.116004,0.728825
BKG023,100.9761,0.61573
BKG024,100.999228,0.335472
BKG025,101.027,0.330802
BKG026,101.0147,0.343148
BKG027,101.029608,0.344299
BKG028,101.1159,0.34557
BKG029,101.0859,0.35299
BKG030,101.2024,0.35183
BKG031,101.168245,0.346541
BKG032,100.96383,0.345747
BKG033,101.340983,0.476329
BKG034,101.103335,0.320403
BKG035,101.11846,0.35399
BKG036,101.086424,0.514451
BKG037,101.150002,-0.083344
BKG038,101.408055,0.454722
BKG039,101.351666,0.478333
BKG040,101.0326,0.339335
BKG041,101.109,0.35764
BKG042,101.32667,0.17356
BKG043,101.149,0.44039
BKG044,101.094239,0.359609
BKG045,101.208434,0.032494
BKG046,101.0734,0.35953
BKG047,101.64037,0.42447
BKG048,100.945279,0.317324
BKG049,100.909362,0.307033
BKG050,101.10142,-0.11487
BKG051,101.366944,0.470833
BKG052,101.40996,-0.131491
BKG053,101.260974,0.230043
BKG054,100.75181,0.4135858
BKG055,101.161453,0.561846
BKG056,101.022,0.33743
BKG057,101.583506,0.30266
BKG058,101.47724,0.20142
BKG059,100.88777,0.78629
BKG061,101.291,0.08907
BKG062,101.298283,0.242552
BKG063,101.0884,-0.1691
BKG064,101.286578,0.144698
BKG065,101.04459,0.6125
BKG066,101.44021,0.41541
BKG067,101.118228,-0.099328
BKG068,100.5349,0.376428
BKG069,101.043805,0.490657
BKG070,100.608376,0.30311
BKG071,101.2139897,0.80543
BKG072,100.97782,-0.036193
BKG073,101.55505,0.3798
BKG074,101.379166,0.434166
BKG075,101.405833,0.415555
BKG076,101.23843,0.47774
BKG077,101.1517,0.812569722
BKG078,101.3775,0.446944
BKG079,101.27871,0.816447
BKG080,101.1287,0.34781
BKG083,101.40858,0.29292
BKG084,101.381944,0.471666
BKG085,100.9664,0.3245
BKG086,101.047802,0.357421
BKG087,101.33714,0.521926
BKG088,101.32054,0.010682
BKG089,101.08228,0.370395
BKG090,101.010467,0.230239
BKG091,101.312,0.25975
BKG093,101.250347,0.767112
BKG094,100.90198,0.75502
BKG095,101.149018,0.489001
BKG096,101.151,0.69724
BKG097,101.319623,0.357699
BKG098,101.189491,0.74333
BKG099,101.079005,0.62648
BKG100,101.365571,0.214405
BKG101,100.5555,0.35471
BKG102,100.5078,0.45066
BKG103,101.308,0.158481
BKG104,101.088,0.45904
BKG105,101.0343,0.30371
BKG106,101.07693,0.53306
BKG107,101.1285,0.365056
BKG108,101.2353,0.005531
BKG109,100.924502,0.578951
BKG110,100.69332,0.30113
BKG111,101.0997319,0.351455212
BKG112,101.385555,0.441666
BKG113,101.4545,0.7368
BKG114,101.395277,0.463611
BKG115,101.30938,0.20426
BKG116,100.97208,0.705477
BKG118,101.206769,-0.01037
BKG119,101.50748,0.4188
BKG120,101.17394,0.84315
BKG121,101.297937,0.42786
BKG122,101.230431,0.55914
BKG123,101.141681,0.87732
BKG125,100.90394,0.54613
BKG126,101.469748,0.237459
BKG127,101.340691,0.288728
BKG130,101.368888,0.456944
BKG131,101.6208889,0.441666944
BKG132,100.936829,0.318807
BKG133,100.872,0.29411
BKG134,101.17855,0.47791
BKG137,101.2744,0.35223
BKG138,101.338888,0.4475
BKG139,101.005917,0.615083
BKG152,101.012086,0.334324
BKG153,101.035008,0.361848
BKG154,101.000125,0.326812
BKG155,101.024201,0.341102
BKG156,101.35036,0.715886
BKG157,100.9905,0.320611
BKG160,101.423333,0.665277
BKG162,100.643,0.3249
BKG163,101.016146,0.011833
BKG165,101.39101,0.2554
BKG166,101.406111,0.391111
BKG167,100.846,0.312815
BKG168,100.702048,0.530893
BKG169,101.020609,0.390287
BKG180,100.769791,0.379415
BKG181,101.2012,0.5715
BKG183,101.036513,-0.022639
BKG186,101.0172,0.31218
BKG187,101.214412,0.417008
BKG188,101.023287,0.356002
BKG189,100.8607,0.12142
BKG192,100.7952,0.34973
BKG193,101.031967,0.278781
BKG195,100.9686,0.43429
BKG198,101.189112,0.354205
BKG199,101.23006,0.57375
BKG201,101.256293,0.401567
BKG203,101.365833,0.479444
BKG204,101.413333,0.428333
BKG205,101.1205,0.685222
BKG206,100.80999,0.430929
BKG207,101.2053,0.02153
BKG209,101.523558,0.216139
BKG210,101.033985,0.315367
BKG211,101.3732789,0.26459
BKG212,101.2555,0.52645
BKG225,101.371,0.225778
BKG230,100.8216,0.297858
BKG232,101.21845,0.83217
BKG233,101.426388,0.434166
BKG234,101.36,0.4975
BKG236,101.0201,0.33971
BKG237,101.027223,0.336505
BKG238,101.375805,0.390596
BKG240,101.345277,0.498333
BKG242,100.5206,0.51734
BKG254,101.435,0.416388
BKG257,101.396666,0.481944
BKG266,101.442222,0.698055
BKG281,101.017395,0.327873
BKG282,100.8455,0.32731
BKG283,101.4233,0.34205
BKG285,101.026923,0.341246
BKG286,101.202553,0.010671
BKG293,101.260293,0.196946
BKG295,101.214199,0.358451
BKG296,101.271066,0.553913
BKG298,101.40499,0.30884
BKG299,101.377222,0.452222
BKG301,100.963409,0.317081
BKG302,101.25511,0.608171
BKG304,100.603213,0.362031
BKG311,101.035321,0.332109
BKG314,100.988425,0.314195
BKG337,101.15161,0.3578
BKG340,101.018774,0.335099
BKG341,101.424722,0.671111
BKG342,101.369444,0.480555
BKG345,100.79514,0.31892
BKG346,101.04261,0.49974
BKG347,101.110494,0.623101
BKG348,101.37666,0.23373
BKG349,101.594722,0.472222
BKG350,101.3517952,0.326220989
BKG351,101.0884,0.49042
BKG352,100.762397,0.309117
BKG353,101.167073,0.699611
BKG354,100.98422,0.63119
BKG355,101.1127,0.55204
BKG356,101.2387,0.24566
BKG357,100.50715,0.47736
BKG383,101.2681,0.75349
BKG385,101.14939,0.50174
BKG386,101.10734,0.45313
BKG387,101.120532,0.698528
BKG388,101.03319,0.2954
BKG389,100.978566,0.329185
BKG391,101.26376,0.25674
BKG392,101.242609,0.119679
BKG476,101.025524,0.339966
BKG500,101.37765,0.3991448
BKG501,101.2214039,0.756199722
BKG508,101.123985,0.484098
BKG510,101.418333,0.434722
BKG514,101.299525,0.528466
BKG534,101.09446,0.372417
BKG540,101.589444,0.467222
BKG555,101.0209,0.344947
BKG558,101.2084,0.309311
BKG560,101.2364,0.358102
BKG561,101.0906,0.634719
BKG563,101.4525,0.723333
BKG565,101.206997,0.042064
BKG572,101.067804,0.551357
BKG577,101.378611,0.502222
BKG579,101.433333,0.395277
BKG580,100.7372,0.319089
BKG592,101.247691,0.126387
BKG595,100.781672,0.464433
BKG597,101.3208697,-0.231300833
BKG635,100.8764,0.36274
BKG640,100.7498,0.52141
BKG650,101.18852,0.50093
BKG662,101.41882,0.33016
BKG663,101.1246,0.630671
BKG664,101.0676,0.39098
BKG665,101.37745,0.29852
BKG666,101.305,0.21906
BKG671,101.334722,0.503611
BKG672,101.479444,0.696666
BKG673,101.369617,-0.065436
BKG674,101.457088,0.331825
BKG675,101.052265,0.166848
BKG677,101.432777,0.643333
BKG678,101.241204,0.555006
BKG679,101.068708,0.646651
BKG680,100.824226,0.341382
BKG681,100.784368,0.278504
BKG682,101.375277,0.479722
BKG684,100.9999,0.34711
BKG686,101.368888,0.445
BKG687,101.4025,0.431388
BKG688,101.368611,0.423611
BKG693,101.040917,0.430373
BKG694,101.06,0.37173
BKG695,101.024909,0.345812
BKG697,100.720553,0.624228
BKG698,101.0843,0.63165
BKG699,100.676243,0.71154
BKG700,100.8964,0.8167426
BKG702,101.379166,0.429722
BKG703,101.418611,0.661111
BKG704,101.432777,0.383611
BKG705,101.433611,0.649722
BKG706,101.367777,0.437222
BKG707,101.483838,0.370746
BKG721,101.104001,0.698785
BKG727,100.57803,0.3282035
BKG729,101.26309,0.0626
BKG730,101.28403,0.41948
BKG740,101.31987,0.51575
BKG742,101.33695,0.491656
BKG745,101.412146,-0.113125
BKG746,101.41059,0.43559
BKG749,101.36897,0.40881
BKG750,101.20698,0.27176
BKG751,101.33341,0.43561
BKG752,101.10809,0.37077
BKG753,101.28659,0.3438
BKG758,101.31594,0.4381816
BKG777,101.48701,0.42805
BKG778,101.35757,0.38115
BKG779,101.2532,0.35613
BKG780,101.09971,0.62877
BKG782,100.94579,0.33705
BKG784,101.19821,0.35789
BKG785,100.934208,0.307903
BKG786,101.183612,0.048605
BKG793,101.113118,0.383547
BKG795,101.098228,0.798245
BKG796,100.92967,0.7226
BKG797,101.20796,0.7961
BKG798,101.390051,0.405473
BKG799,101.323041,0.447466
BKG800,101.36069,0.42356
BKG802,101.410528,0.422842
BKG803,101.29793,0.03726
BKG806,101.1465,-0.0861
BKG807,100.844517,0.461275
BKG808,100.52369,0.39119
BKG809,101.352968,0.502512
BKG810,101.33192,0.51064
BKG811,101.380363,0.421873
BKG812,101.422605,0.419674
BKG865,101.364804,0.403365
BKG866,101.053681,0.49176
BKG867,101.47371,0.41933
BKG868,101.57162,0.30159
BKG869,100.935061,0.63106
BKG870,101.469247,0.437746
BKG871,101.066598,0.658687
BKG872,101.074045,0.846168
BKG873,101.259978,0.136321
BKG874,101.242619,0.37232
BKG875,101.269418,0.411785
BKG876,101.17919,0.356734
BKG877,101.172161,0.3728
BKG878,101.047397,0.770974
BKG879,100.86847,0.66023
BKG880,101.03493,0.34829
BKG881,101.22358,0.35595
BKG882,100.84861,0.63123
BKG884,100.895019,0.32869
BKT002,100.39575,-0.32417
BKT003,100.36413,-0.28792
BKT004,100.375364,-0.316984
BKT008,100.38857,-0.30629
BKT010,100.384861,-0.31706
BKT024,100.370922,-0.308746
BKT039,100.38798,-0.34103
BKT066,100.39667,-0.38498
BKT078,100.37253,-0.31767
BKT091,100.3780556,-0.319444444
BKT095,100.269171,-0.386985
BKT097,100.37151,-0.27235
BKT098,100.37923,-0.29156
BKT105,100.37665,-0.31204
BKT106,100.40228,-0.29859
BKT107,100.38355,-0.34473
BKT108,100.37337,-0.31227
BKT117,100.3808997,-0.297929722
BKT129,100.3734,-0.29594
BKT136,100.41,-0.29361
BKT152,100.38177,-0.3201
BKT153,100.367169,-0.301377
BKT154,100.3805,-0.31191
BKT157,100.36934,-0.28259
BKT159,100.37752,-0.304407
BKT168,100.369506,-0.304506
BKT174,100.36441,-0.2978
BKT175,100.37893,-0.30227
BKT176,100.38487,-0.3142
BKT178,100.38751,-0.31394
BKT179,100.38472,-0.32244
BKT183,100.38619,-0.32127
BKT186,100.38928,-0.2709
BKT191,100.39082,-0.34337
BKT225,100.37896,-0.32454
BKT254,100.384,-0.30985
BKT257,100.37985,-0.31593
BKT263,100.352185,-0.286427
BKT276,100.395019,-0.31394
BKT290,100.359177,-0.292862
BKT401,100.368025,-0.306115
BKT402,100.3669444,-0.299722222
BKT403,100.365558,-0.306941
BKT407,100.38316,-0.29989
BKT409,100.37209,-0.31107
BKT411,100.368497,-0.305203
BKT412,100.37167,-0.30167
BKT501,100.55484,-0.29851
BKT502,100.36856,-0.3002
BKT503,100.4094601,-0.307745934
BKT505,100.36515,-0.30426
BKT506,100.37338,-0.29272
BKT507,100.35661,-0.29555
BKT508,100.379,-0.308388888
BKT509,100.29056,-0.34639
BKT513,100.3866667,-0.31193
BKT517,100.369806,-0.303165
BKT529,100.37329,-0.30061
BKT530,100.3679,-0.29725
BKT532,100.3711,-0.28887
BKT533,100.3591,-0.30075
BKT534,100.392781,-0.29942
BKT573,100.37472,-0.30502
BLS001,102.4018908,1.532313824
BLS002,102.3219,1.40894
BLS003,101.3125,1.108618
BLS004,101.192,1.267472
BLS005,102.151531,1.459798
BLS006,101.1805,0.92384
BLS007,101.464577,1.75433
BLS008,101.1893,1.26091
BLS009,101.223376,1.247981
BLS010,101.1928,1.30392
BLS011,101.2266,1.242361
BLS012,101.18279,1.28674
BLS013,102.1046,1.47146
BLS014,101.74355,1.97124
BLS015,102.10097,1.4783608
BLS016,101.3455,1.47081
BLS017,101.143,1.34233
BLS018,101.245213,0.88717
BLS019,101.1344,1.3645
BLS020,101.14678,1.36788
BLS021,101.25453,0.876079722
BLS022,101.23304,0.898639722
BLS023,102.1087,1.477603
BLS024,101.1724,1.302411
BLS025,101.180359,1.282968
BLS026,101.1903,1.291687
BLS027,101.1965,1.243232
BLS028,101.1699,1.292219
BLS029,101.283216,1.159583
BLS032,101.1659,1.4172
BLS033,101.24245,1.2502767
BLS034,101.7414,1.656013
BLS035,101.8341,1.58515
BLS036,101.0057,1.559358
BLS038,101.58577,1.05939
BLS039,102.012143,1.12496
BLS040,102.5333,1.11546
BLS041,101.3152,1.29122
BLS042,102.35594,1.54145
BLS043,102.46256,1.41187
BLS044,101.73706,1.79111
BLS045,102.71768,1.11084
BLS046,102.442,1.12313
BLS047,101.182,1.29617
BLS048,102.2335,1.43984
BLS049,102.474784,1.204439
BLS050,101.0084,1.3804
BLS051,102.22711,1.52863
BLS052,102.9706907,1.084803343
BLS053,102.4676,0.96873
BLS054,101.50934,1.1137
BLS055,102.7105561,1.013638888
BLS056,101.266369,1.43045
BLS057,102.4625,1.29427
BLS058,102.3928,1.34506
BLS059,102.110796,1.465945
BLS060,102.0237,1.56256
BLS061,102.376788,1.31433
BLS062,101.30415,1.27413
BLS064,102.95328,0.94544
BLS065,101.2522697,0.88028
BLS066,101.0848,1.27807
BLS067,102.2177,1.5365
BLS068,102.0592,1.51286
BLS069,101.1968,1.273942
BLS070,102.70919,1.00253
BLS071,101.2141,1.26765
BLS072,101.2285,1.22036
BLS073,101.2615,1.18429
BLS074,101.27222,1.0862
BLS075,101.2402,1.429785
BLS077,101.20833,1.25888
BLS079,101.1991,1.291149
BLS080,101.1727697,0.85906
BLS081,102.46278,1.47722
BLS083,101.30965,1.00851
BLS084,101.2373197,0.92693
BLS085,101.243075,0.988886
BLS087,101.26408,1.0035932
BLS088,101.3037,1.24633
BLS093,102.71872,0.99955
BLS094,101.2003,1.2819
BLS095,101.1768,1.30071
BLS097,101.04545,0.97018
BLS098,101.1542,0.97977
BLS099,101.27265,1.4128
BLS100,101.278617,0.849583
BLS101,101.32765,1.392667
BLS102,102.76234,0.939788
BLS105,102.1566,1.355694
BLS106,101.192,1.28325
BLS107,101.2500797,0.95896
BLS108,102.7052697,1.007449722
BLS109,102.71353,0.99763
BLS110,102.7197,1.01251
BLS111,102.458795,1.012167
BLS113,100.96154,1.384589
BLS114,101.1521,1.41508
BLS115,102.133005,1.46528
BLS116,102.1413,1.35052
BLS117,101.942548,1.500928
BLS119,103.075,0.60632
BLS122,102.41948,1.29111
BLS123,101.2061,1.275435
BLS125,101.948834,1.476052
BLS128,101.158,1.33722
BLS129,102.1108603,1.221477985
BLS130,102.073009,1.183283329
BLS132,102.26506,1.45368
BLS133,101.27423,1.1739082
BLS134,102.86553,1.09505
BLS135,102.497204,0.967922
BLS136,102.1878,1.55884
BLS137,101.227438,1.254456
