SiteID,Longitude,Latitude
BDB001,107.49698,-6.83949
BDB002,107.3167,-7.00885
BDB003,107.50175,-6.78077
BDB004,107.34805,-6.95467
BDB005,107.4614,-7.02632
BDB006,107.19025,-7.05968
BDB007,107.3762,-6.734
BDB008,107.4351,-6.85203
BDB009,107.3449,-6.7403
BDB010,107.30535,-6.92792
BDB011,107.48,-6.86402
BDB012,107.4921,-6.8476
BDB013,107.4869,-6.8709
BDB014,107.44122,-6.99442
BDB015,107.379774,-7.01814
BDB016,107.2889,-6.9843
BDB017,107.3854,-6.7201
BDB018,107.44151,-6.83233
BDB019,107.5218,-6.8704
BDB020,107.4,-6.7357
BDB021,107.424,-6.9245
BDB022,107.3612,-6.7521
BDB023,107.3277,-6.8293
BDB024,107.4484,-6.8025
BDB025,107.4346,-6.7766
BDB026,107.3528,-6.8515
BDB027,107.3388,-6.8324
BDB028,107.61402,-6.79317
BDB029,107.39123,-6.89168
BDB031,107.33914,-6.90813
BDB032,107.2772,-6.9725
BDB033,107.41307,-6.87649
BDB034,107.5251,-6.8763
BDB035,107.228184,-6.997548
BDB036,107.537,-6.8668
BDB037,107.3891,-7.0643
BDB038,107.406976,-6.865206
BDB039,107.41408,-6.91209
BDB040,107.501,-6.9125
BDB041,107.4805,-6.8264
BDB042,107.52725,-6.93934
BDB043,107.49885,-6.81019
BDB044,107.54714,-6.79578
BDB045,107.513,-6.8959
BDB046,107.45438,-6.86388
BDB047,107.51247,-6.91101
BDB048,107.28699,-7.03703
BDB049,107.36423,-6.83281
BDB050,107.5309,-6.8513
BDB051,107.4903,-6.8913
BDB052,107.38373,-6.93622
BDB053,107.3473,-6.8217
BDB054,107.60072,-6.78803
BDB055,107.5345,-6.8451
BDB056,107.5817,-6.8511
BDB057,107.5818,-6.8485
BDB058,107.511,-6.8702
BDB061,107.5861,-6.8294
BDB063,107.5117,-6.9394
BDB066,107.4748,-6.8469
BDB067,107.334,-6.966
BDB068,107.321,-7.0211
BDB069,107.6601,-6.8095
BDB070,107.46031,-6.83461
BDB071,107.508,-6.9587
BDB072,107.3709,-7.0036
BDB073,107.6054,-6.8061
BDB076,107.4915,-6.8597
BDB079,107.6141,-6.8378
BDB080,107.4775,-6.839
BDB081,107.4675,-6.812
BDB082,107.6105,-6.8085
BDB083,107.4985,-6.9253
BDB084,107.4776,-6.9256
BDB085,107.6205,-6.8136
BDB086,107.6308,-6.8155
BDB087,107.43066,-6.83104
BDB090,107.6218,-6.8373
BDB091,107.6169,-6.8169
BDB092,107.4446,-6.7491
BDB093,107.6302,-6.85
BDB094,107.6258,-6.8181
BDB097,107.6495,-6.833
BDB101,107.6315,-6.8249
BDB102,107.5948,-6.8315
BDB104,107.5986,-6.803
BDB105,107.5187,-6.8641
BDB106,107.5273,-6.8606
BDB108,107.5141,-6.8602
BDB112,107.5239,-6.8575
BDB113,107.567,-6.8574
BDB114,107.4518,-6.833
BDB117,107.469,-6.8736
BDB119,107.5028,-6.8632
BDB123,107.57411,-6.8239
BDB125,107.4688,-6.8401
BDB130,107.5061,-6.8445
BDB134,107.5076,-6.8644
BDB135,107.4334,-6.9072
BDB137,107.3211,-6.9441
BDB138,107.351,-6.8327
BDB139,107.5073,-6.8565
BDB141,107.48047,-6.95182
BDB142,107.4259,-6.7409
BDB144,107.3821,-6.9746
BDB145,107.5682,-6.8521
BDB146,107.5086,-6.8744
BDB147,107.4442,-6.9665
BDB148,107.4234,-6.9648
BDB149,107.5931,-6.8432
BDB150,107.632,-6.8295
BDB153,107.46898,-6.8776
BDB156,107.4737,-6.871
BDB157,107.4622,-6.8756
BDB160,107.4735,-6.8759
BDB161,107.6099,-6.8248
BDB171,107.5693,-6.8736
BDB172,107.6005,-6.8373
BDB175,107.4794,-6.845
BDB176,107.6255,-6.8134
BDB181,107.4614,-6.8521
BDB182,107.4344,-6.7041
BDB183,107.58894,-6.82008
BDB184,107.5169,-6.9427
BDB187,107.588,-6.8134
BDB188,107.5047,-6.8743
BDB189,107.6213,-6.8094
BDB191,107.59657,-6.82592
BDB194,107.49064,-6.8553
BDB196,107.5242,-6.8499
BDB197,107.5769,-6.862
BDB198,107.4784,-6.9129
BDB199,107.62408,-6.83088
BDB201,107.6373,-6.8187
BDB202,107.5857,-6.8576
BDB203,107.468,-6.8534
BDB206,107.5032,-6.907
BDB207,107.4984,-6.8597
BDB208,107.50027,-6.84365
BDB209,107.5797,-6.8548
BDB212,107.48602,-6.92791
BDB213,107.4721,-6.9206
BDB214,107.5048,-6.9298
BDB216,107.5092,-6.8543
BDB219,107.5224,-6.8668
BDB222,107.599898,-6.810613
BDB231,107.4654,-6.8327
BDB232,107.491368,-6.918622
BDB233,107.51321,-6.84129
BDB236,107.62485,-6.82538
BDB237,107.4698,-6.844
BDB241,107.70085,-6.831
BDB242,107.48367,-6.84062
BDB243,107.5681,-6.8015
BDB244,107.6399,-6.8047
BDB245,107.648,-6.7929
BDB246,107.50024,-6.92966
BDB247,107.31122,-7.02284
BDB248,107.48787,-6.84904
BDB249,107.53029,-6.85533
BDB250,107.49194,-6.83603
BDB253,107.554611,-6.823083
BDB254,107.6758,-6.81957
BDB261,107.57716,-6.80471
BDB269,107.51157,-6.86629
BDB271,107.57241,-6.844121
BDB275,107.64536,-6.82995
BDB277,107.4788,-6.8581
BDB278,107.5249,-6.8265
BDB280,107.65122,-6.81934
BDB282,107.58304,-6.78985
BDB285,107.50686,-6.8299
BDB288,107.27648,-7.00941
BDB289,107.5481,-6.8143
BDB291,107.46821,-6.93197
BDB292,107.59015,-6.80078
BDB297,107.4492,-6.793
BDB300,107.37516,-6.85125
BDB301,107.45076,-6.93793
BDB309,107.39407,-6.70561
BDB311,107.45268,-6.90233
BDB314,107.38451,-6.99473
BDB315,107.45961,-6.95123
BDB317,107.24045,-6.9737
BDB318,107.41419,-6.70768
BDB319,107.47095,-6.77153
BDB321,107.471507,-6.986011
BDB322,107.48489,-6.969269
BDB323,107.516397,-6.870948
BDB347,107.32486,-6.99252
BDB350,107.60697,-6.83283
BDG001,107.611,-6.9169
BDG002,107.6022,-6.8828
BDG003,107.6184,-6.9223
BDG004,107.6259,-6.8896
BDG005,107.6043,-6.8937
BDG006,107.5758,-6.9124
BDG007,107.5896,-6.8832
BDG008,107.6497,-6.9057
BDG009,107.6126,-6.8862
BDG010,107.7093,-6.9221
BDG011,107.6157,-6.9021
BDG012,107.6262,-6.934
BDG013,107.6307,-6.9424
BDG014,107.574,-6.9687
BDG015,107.6071,-6.9277
BDG016,107.613,-6.9276
BDG017,107.6201,-6.896
BDG018,107.559,-6.8148
BDG019,107.6761,-6.8988
BDG020,107.6236,-6.9151
BDG021,107.5486,-6.985
BDG022,107.627,-6.9243
BDG023,107.5951,-6.9722
BDG026,107.5766,-6.9494
BDG027,107.5891,-6.8701
BDG028,107.5821,-6.906
BDG029,107.6394,-6.9105
BDG030,107.6089,-6.9005
BDG034,107.6042,-6.8653
BDG035,107.6166,-6.9375
BDG036,107.6199,-6.9063
BDG039,107.6302,-6.9171
BDG040,107.6272,-6.9724
BDG041,107.6073,-6.9386
BDG042,107.6074,-6.8744
BDG043,107.5863,-6.9186
BDG045,107.6238,-6.9498
BDG046,107.6239,-6.8677
BDG047,107.597,-6.8953
BDG049,107.585,-6.8943
BDG051,107.6296,-6.9054
BDG052,107.709,-6.9719
BDG053,107.5716,-6.9344
BDG054,107.59,-6.9463
BDG055,107.6458,-6.9877
BDG056,107.6421,-6.937
BDG057,107.6628,-6.9592
BDG058,107.377,-6.8277
BDG059,107.6144,-6.9754
BDG060,107.6351,-6.8603
BDG061,107.6033,-6.9565
BDG062,107.581,-6.8857
BDG063,107.7542,-6.9728
BDG064,107.6221,-6.9281
BDG065,107.6205,-7.0055
BDG066,107.593,-6.9196
BDG067,107.644,-6.9492
BDG068,107.6151,-6.9126
BDG069,107.5952,-6.9374
BDG070,107.65747,-6.90179
BDG071,107.665,-6.9262
BDG073,107.6785,-6.9106
BDG074,107.5811,-6.8195
BDG075,107.655,-6.9392
BDG077,107.6823,-6.9396
BDG078,107.7536,-6.9257
BDG079,107.6449,-6.9218
BDG080,107.6703,-6.9687
BDG081,107.7526,-7.0502
BDG082,107.5995,-6.9251
BDG083,107.5593,-7.184
BDG084,107.603,-6.9319
BDG085,107.5943,-7.0328
BDG086,107.6573,-6.9161
BDG087,107.846,-6.9946
BDG088,107.6913,-6.9247
BDG090,107.6611,-6.9521
BDG091,107.5229,-7.022
BDG092,107.6353,-6.9516
BDG093,107.9,-7.0235
BDG094,107.452,-6.8232
BDG095,107.7452,-7.0092
BDG096,107.434,-6.715
BDG098,107.502,-6.9021
BDG099,107.476,-6.8164
BDG100,107.432,-6.7525
BDG101,107.7895,-6.9614
BDG102,107.769,-6.9543
BDG103,107.617,-6.8113
BDG105,107.5811,-6.929
BDG107,107.4728,-6.8656
BDG108,107.4499,-7.1084
BDG109,107.4985,-6.8494
BDG110,107.4353,-6.79
BDG111,107.6547,-6.8268
BDG112,107.7094,-7.0355
BDG113,107.6196,-6.8708
BDG114,107.6458,-6.8968
BDG115,107.6389,-6.8287
BDG116,107.5753,-6.8516
BDG117,107.562,-6.9528
BDG118,107.5629,-7.0885
BDG119,107.6194,-6.8742
BDG120,107.5966,-6.9005
BDG121,107.6218,-6.8797
BDG122,107.6522,-6.9306
BDG123,107.6728,-6.9192
BDG124,107.4935,-7.0681
BDG125,107.5959,-6.8734
BDG126,107.515,-6.8651
BDG127,107.6116,-6.9093
BDG128,107.5798,-6.9593
BDG129,107.6328,-6.8977
BDG130,107.6343,-6.9615
BDG131,107.407,-6.7587
